ATTRIBUTES:								
								
Attribute #1:								
Attribute #2:Test								
Attribute #3:dev1								
Attribute #4:PASSED								
SETUP:MOSFET  12/04/2023  23:26:23								
DATE:12/04/2023								
TIME:23:26:23								
								
CONDITIONS:								
								
ID:	D							
UNIT:	SMU1							
MODE: SWEEP								
3.80E+00	2.77E-04	2.23E-02	2.17E-02	2.12E-02	1.98E-02	1.90E-02	1.83E-02	1.77E-02
3.85E+00	3.02E-04	2.29E-02	2.23E-02	2.18E-02	2.03E-02	1.95E-02	1.88E-02	1.82E-02
3.90E+00	3.33E-04	2.35E-02	2.29E-02	2.24E-02	2.09E-02	2.01E-02	1.94E-02	1.88E-02
3.95E+00	3.48E-04	2.42E-02	2.36E-02	2.30E-02	2.15E-02	2.07E-02	1.99E-02	1.93E-02
4.00E+00	3.58E-04	2.49E-02	2.42E-02	2.36E-02	2.21E-02	2.12E-02	2.05E-02	1.98E-02
4.05E+00	4.11E-04	2.56E-02	2.49E-02	2.42E-02	2.27E-02	2.18E-02	2.10E-02	2.04E-02
4.10E+00	4.20E-04	2.62E-02	2.55E-02	2.48E-02	2.33E-02	2.24E-02	2.16E-02	2.09E-02
4.15E+00	4.61E-04	2.69E-02	2.62E-02	2.55E-02	2.40E-02	2.30E-02	2.22E-02	2.15E-02
4.20E+00	4.81E-04	2.76E-02	2.69E-02	2.61E-02	2.46E-02	2.36E-02	2.28E-02	2.20E-02
4.25E+00	5.29E-04	2.83E-02	2.76E-02	2.68E-02	2.53E-02	2.43E-02	2.34E-02	2.26E-02
4.30E+00	5.68E-04	2.91E-02	2.83E-02	2.75E-02	2.59E-02	2.49E-02	2.40E-02	2.32E-02
4.35E+00	6.32E-04	2.98E-02	2.91E-02	2.82E-02	2.66E-02	2.56E-02	2.46E-02	2.38E-02
4.40E+00	6.88E-04	3.05E-02	2.98E-02	2.89E-02	2.73E-02	2.62E-02	2.53E-02	2.45E-02
4.45E+00	7.59E-04	3.13E-02	3.06E-02	2.97E-02	2.80E-02	2.69E-02	2.59E-02	2.51E-02
4.50E+00	8.50E-04	3.20E-02	3.13E-02	3.04E-02	2.87E-02	2.76E-02	2.66E-02	2.57E-02
4.55E+00	9.45E-04	3.27E-02	3.21E-02	3.12E-02	2.94E-02	2.83E-02	2.73E-02	2.64E-02
4.60E+00	1.02E-03	3.35E-02	3.29E-02	3.20E-02	3.02E-02	2.90E-02	2.80E-02	2.71E-02
4.65E+00	1.19E-03	3.42E-02	3.37E-02	3.28E-02	3.09E-02	2.98E-02	2.87E-02	2.78E-02
4.70E+00	9.17E-03	3.49E-02	3.45E-02	3.36E-02	3.17E-02	3.05E-02	2.94E-02	2.85E-02
4.75E+00	9.61E-03	3.57E-02	3.53E-02	3.43E-02	3.25E-02	3.12E-02	3.01E-02	2.92E-02
4.80E+00	1.01E-02	4.51E-02	3.62E-02	3.52E-02	3.32E-02	3.20E-02	3.09E-02	2.99E-02
4.85E+00	1.05E-02	3.73E-02	3.77E-02	3.60E-02	3.40E-02	3.28E-02	3.16E-02	3.06E-02
4.90E+00	1.10E-02	4.90E-02	3.79E-02	3.68E-02	3.48E-02	3.36E-02	3.24E-02	3.13E-02
4.95E+00	1.16E-02	4.06E-02	3.92E-02	3.77E-02	3.57E-02	3.44E-02	3.32E-02	3.21E-02
5.00E+00	8.84E-02	4.12E-02	4.01E-02	3.79E-02	3.65E-02	3.52E-02	3.40E-02	3.29E-02
								
TEST RESULTS:  MOSFET  12/04/2023  23:26:23								
