VD	ID	ID2	ID3	ID4	ID5	ID6	ID7	ID8
4.10E+00	7.07E-05	1.49E-04	3.18E-04	6.00E-04	9.97E-04	1.51E-03	2.13E-03	2.86E-03
4.15E+00	7.07E-05	1.49E-04	3.19E-04	6.01E-04	9.97E-04	1.52E-03	2.13E-03	2.86E-03
4.20E+00	7.09E-05	1.49E-04	3.19E-04	6.02E-04	9.99E-04	1.52E-03	2.14E-03	2.86E-03
4.25E+00	7.10E-05	1.49E-04	3.20E-04	6.02E-04	1.00E-03	1.52E-03	2.14E-03	2.87E-03
4.30E+00	7.12E-05	1.50E-04	3.20E-04	6.03E-04	1.00E-03	1.52E-03	2.14E-03	2.87E-03
4.35E+00	7.14E-05	1.50E-04	3.21E-04	6.04E-04	1.00E-03	1.52E-03	2.14E-03	2.87E-03
4.40E+00	7.14E-05	1.50E-04	3.21E-04	6.04E-04	1.00E-03	1.53E-03	2.15E-03	2.87E-03
4.45E+00	7.17E-05	1.51E-04	3.22E-04	6.05E-04	1.00E-03	1.53E-03	2.15E-03	2.88E-03
4.50E+00	7.18E-05	1.51E-04	3.22E-04	6.06E-04	1.01E-03	1.53E-03	2.15E-03	2.88E-03
4.55E+00	7.20E-05	1.51E-04	3.23E-04	6.07E-04	1.01E-03	1.53E-03	2.15E-03	2.88E-03
4.60E+00	7.22E-05	1.51E-04	3.23E-04	6.08E-04	1.01E-03	1.53E-03	2.15E-03	2.88E-03
4.65E+00	7.22E-05	1.51E-04	3.24E-04	6.08E-04	1.01E-03	1.53E-03	2.16E-03	2.89E-03
4.70E+00	7.25E-05	1.52E-04	3.24E-04	6.09E-04	1.01E-03	1.53E-03	2.16E-03	2.89E-03
4.75E+00	7.26E-05	1.52E-04	3.25E-04	6.10E-04	1.01E-03	1.54E-03	2.16E-03	2.89E-03
4.80E+00	7.28E-05	1.52E-04	3.25E-04	6.11E-04	1.01E-03	1.54E-03	2.16E-03	2.89E-03
4.85E+00	7.31E-05	1.53E-04	3.26E-04	6.12E-04	1.01E-03	1.54E-03	2.16E-03	2.90E-03
4.90E+00	7.31E-05	1.53E-04	3.26E-04	6.12E-04	1.01E-03	1.54E-03	2.17E-03	2.90E-03
4.95E+00	7.34E-05	1.53E-04	3.26E-04	6.13E-04	1.02E-03	1.54E-03	2.17E-03	2.90E-03
5.00E+00	7.36E-05	1.53E-04	3.27E-04	6.14E-04	1.02E-03	1.54E-03	2.17E-03	2.90E-03
